Epoch,Loss,Time
1,1.8114,0.0130
2,1.8087,0.0250
3,1.8059,0.0390
4,1.8031,0.0510
5,1.8001,0.0620
6,1.7971,0.0740
7,1.7940,0.0860
8,1.7908,0.0970
9,1.7875,0.1110
10,1.7841,0.1270
11,1.7807,0.1390
12,1.7771,0.1510
13,1.7734,0.1660
14,1.7696,0.1790
15,1.7657,0.1910
16,1.7617,0.2020
17,1.7575,0.2130
18,1.7533,0.2290
19,1.7489,0.2400
20,1.7443,0.2510
21,1.7396,0.2620
22,1.7348,0.2730
23,1.7298,0.2830
24,1.7246,0.2930
25,1.7192,0.3040
26,1.7137,0.3140
27,1.7080,0.3240
28,1.7021,0.3340
29,1.6960,0.3440
30,1.6897,0.3540
31,1.6832,0.3640
32,1.6764,0.3740
33,1.6694,0.3840
34,1.6621,0.3940
35,1.6546,0.4050
36,1.6468,0.4140
37,1.6388,0.4240
38,1.6304,0.4330
39,1.6218,0.4420
40,1.6128,0.4510
41,1.6035,0.4600
42,1.5939,0.4690
43,1.5839,0.4770
44,1.5736,0.4860
45,1.5629,0.4940
46,1.5518,0.5020
47,1.5404,0.5110
48,1.5285,0.5190
49,1.5163,0.5270
50,1.5036,0.5350
51,1.4905,0.5430
52,1.4771,0.5510
53,1.4632,0.5580
54,1.4489,0.5660
55,1.4342,0.5730
56,1.4192,0.5810
57,1.4038,0.5880
58,1.3880,0.5960
59,1.3719,0.6060
60,1.3555,0.6170
61,1.3388,0.6280
62,1.3219,0.6380
63,1.3048,0.6470
64,1.2876,0.6540
65,1.2703,0.6620
66,1.2530,0.6690
67,1.2357,0.6760
68,1.2185,0.6840
69,1.2014,0.6920
70,1.1846,0.7000
71,1.1680,0.7080
72,1.1517,0.7160
73,1.1358,0.7240
74,1.1203,0.7310
75,1.1053,0.7390
76,1.0908,0.7460
77,1.0768,0.7540
78,1.0634,0.7620
79,1.0506,0.7700
80,1.0383,0.7770
81,1.0266,0.7850
82,1.0156,0.7920
83,1.0051,0.8000
84,0.9952,0.8070
85,0.9858,0.8140
86,0.9770,0.8220
87,0.9687,0.8300
88,0.9610,0.8370
89,0.9537,0.8450
90,0.9468,0.8540
91,0.9404,0.8620
92,0.9345,0.8690
93,0.9289,0.8770
94,0.9236,0.8850
95,0.9187,0.8920
96,0.9142,0.9000
97,0.9099,0.9080
98,0.9059,0.9160
99,0.9022,0.9240
100,0.8987,0.9310
101,0.8954,0.9390
102,0.8924,0.9470
103,0.8895,0.9550
104,0.8868,0.9630
105,0.8843,0.9710
106,0.8820,0.9790
107,0.8797,0.9860
108,0.8777,0.9940
109,0.8757,1.0030
110,0.8738,1.0110
111,0.8721,1.0190
112,0.8704,1.0270
113,0.8689,1.0350
114,0.8674,1.0430
115,0.8660,1.0500
116,0.8647,1.0590
117,0.8634,1.0680
118,0.8622,1.0760
119,0.8610,1.0840
120,0.8599,1.0920
121,0.8589,1.1010
122,0.8579,1.1090
123,0.8569,1.1170
124,0.8560,1.1250
125,0.8551,1.1340
126,0.8543,1.1420
127,0.8534,1.1500
128,0.8526,1.1580
129,0.8519,1.1660
130,0.8511,1.1740
131,0.8504,1.1820
132,0.8497,1.1900
133,0.8490,1.1980
134,0.8484,1.2060
135,0.8477,1.2140
136,0.8471,1.2220
137,0.8465,1.2300
138,0.8459,1.2370
139,0.8453,1.2450
140,0.8447,1.2530
141,0.8442,1.2610
142,0.8436,1.2690
143,0.8431,1.2770
144,0.8425,1.2850
145,0.8420,1.2920
146,0.8415,1.3000
147,0.8410,1.3080
148,0.8405,1.3150
149,0.8400,1.3230
150,0.8395,1.3310
