Epoch,Loss,Time
1,0.9418,0.0090
2,0.8333,0.0170
3,0.7391,0.0250
4,0.6700,0.0340
5,0.6205,0.0420
6,0.5837,0.0510
7,0.5550,0.0600
8,0.5316,0.0700
9,0.5116,0.0790
10,0.4940,0.0880
11,0.4783,0.0980
12,0.4641,0.1080
13,0.4511,0.1180
14,0.4391,0.1280
15,0.4280,0.1370
16,0.4177,0.1470
17,0.4080,0.1570
18,0.3989,0.1670
19,0.3904,0.1770
20,0.3823,0.1870
21,0.3746,0.1980
22,0.3672,0.2080
23,0.3602,0.2180
24,0.3535,0.2280
25,0.3471,0.2380
26,0.3410,0.2490
27,0.3350,0.2590
28,0.3293,0.2690
29,0.3239,0.2790
30,0.3186,0.2890
31,0.3135,0.3000
32,0.3085,0.3100
33,0.3038,0.3200
34,0.2992,0.3310
35,0.2947,0.3410
36,0.2904,0.3510
37,0.2862,0.3620
38,0.2821,0.3720
39,0.2782,0.3820
40,0.2744,0.3940
41,0.2706,0.4040
42,0.2670,0.4150
43,0.2635,0.4260
44,0.2601,0.4360
45,0.2568,0.4480
46,0.2536,0.4590
47,0.2504,0.4690
48,0.2474,0.4800
49,0.2444,0.4910
50,0.2415,0.5010
51,0.2386,0.5130
52,0.2359,0.5240
53,0.2332,0.5360
54,0.2305,0.5470
55,0.2280,0.5580
56,0.2254,0.5690
57,0.2230,0.5800
58,0.2206,0.5910
59,0.2182,0.6020
60,0.2159,0.6130
61,0.2137,0.6240
62,0.2115,0.6360
63,0.2093,0.6470
64,0.2072,0.6580
65,0.2052,0.6700
66,0.2031,0.6830
67,0.2012,0.6960
68,0.1992,0.7070
69,0.1973,0.7190
70,0.1954,0.7300
71,0.1936,0.7420
72,0.1918,0.7540
73,0.1900,0.7660
74,0.1883,0.7780
75,0.1866,0.7900
76,0.1849,0.8020
77,0.1832,0.8140
78,0.1816,0.8260
79,0.1800,0.8380
80,0.1784,0.8500
81,0.1769,0.8620
82,0.1753,0.8780
83,0.1738,0.8940
84,0.1724,0.9070
85,0.1709,0.9200
86,0.1695,0.9320
87,0.1681,0.9450
88,0.1667,0.9570
89,0.1653,0.9700
90,0.1640,0.9820
91,0.1626,0.9940
92,0.1613,1.0070
93,0.1600,1.0190
94,0.1587,1.0310
95,0.1575,1.0430
96,0.1562,1.0550
97,0.1550,1.0670
98,0.1538,1.0800
99,0.1526,1.0920
100,0.1514,1.1050
101,0.1503,1.1170
102,0.1491,1.1290
103,0.1480,1.1410
104,0.1469,1.1530
105,0.1458,1.1660
106,0.1447,1.1780
107,0.1436,1.1910
108,0.1426,1.2050
109,0.1415,1.2180
110,0.1405,1.2300
111,0.1395,1.2430
112,0.1385,1.2550
113,0.1375,1.2680
114,0.1365,1.2800
115,0.1356,1.2930
116,0.1346,1.3060
117,0.1337,1.3190
118,0.1327,1.3320
119,0.1318,1.3450
120,0.1309,1.3570
121,0.1300,1.3700
122,0.1291,1.3830
123,0.1282,1.3960
124,0.1273,1.4080
125,0.1265,1.4240
126,0.1256,1.4430
127,0.1248,1.4560
128,0.1240,1.4690
129,0.1231,1.4840
130,0.1223,1.4990
131,0.1215,1.5110
132,0.1207,1.5240
133,0.1199,1.5370
134,0.1192,1.5520
135,0.1184,1.5690
136,0.1176,1.5840
137,0.1169,1.6010
138,0.1161,1.6170
139,0.1154,1.6300
140,0.1147,1.6430
141,0.1140,1.6560
142,0.1133,1.6710
143,0.1126,1.6840
144,0.1119,1.6970
145,0.1112,1.7100
146,0.1105,1.7280
147,0.1099,1.7410
148,0.1092,1.7540
149,0.1085,1.7670
150,0.1079,1.7800
