Epoch,Loss,Time
1,1.2072,0.0120
2,1.1453,0.0230
3,1.0846,0.0350
4,1.0278,0.0450
5,0.9785,0.0540
6,0.9410,0.0620
7,0.9192,0.0700
8,0.9137,0.0780
9,0.9201,0.0870
10,0.9299,0.0970
11,0.9358,0.1080
12,0.9345,0.1160
13,0.9259,0.1240
14,0.9117,0.1330
15,0.8945,0.1410
16,0.8769,0.1490
17,0.8611,0.1570
18,0.8482,0.1650
19,0.8387,0.1730
20,0.8321,0.1810
21,0.8276,0.1890
22,0.8239,0.1970
23,0.8201,0.2060
24,0.8156,0.2140
25,0.8099,0.2220
26,0.8031,0.2300
27,0.7954,0.2380
28,0.7871,0.2460
29,0.7788,0.2550
30,0.7709,0.2650
31,0.7637,0.2750
32,0.7574,0.2840
33,0.7520,0.2920
34,0.7473,0.3030
35,0.7429,0.3160
36,0.7386,0.3280
37,0.7341,0.3380
38,0.7292,0.3460
39,0.7240,0.3540
40,0.7186,0.3620
41,0.7132,0.3700
42,0.7080,0.3790
43,0.7031,0.3870
44,0.6985,0.3950
45,0.6942,0.4030
46,0.6902,0.4120
47,0.6864,0.4200
48,0.6826,0.4280
49,0.6787,0.4370
50,0.6749,0.4450
51,0.6710,0.4540
52,0.6670,0.4630
53,0.6632,0.4720
54,0.6594,0.4800
55,0.6558,0.4890
56,0.6523,0.4970
57,0.6490,0.5060
58,0.6457,0.5140
59,0.6426,0.5220
60,0.6394,0.5300
61,0.6363,0.5390
62,0.6332,0.5470
63,0.6301,0.5550
64,0.6270,0.5630
65,0.6240,0.5720
66,0.6211,0.5810
67,0.6182,0.5930
68,0.6154,0.6050
69,0.6127,0.6150
70,0.6100,0.6240
71,0.6073,0.6320
72,0.6047,0.6410
73,0.6021,0.6490
74,0.5995,0.6570
75,0.5970,0.6650
76,0.5944,0.6730
77,0.5920,0.6820
78,0.5895,0.6900
79,0.5871,0.6980
80,0.5848,0.7060
81,0.5824,0.7140
82,0.5801,0.7230
83,0.5779,0.7310
84,0.5756,0.7410
85,0.5734,0.7490
86,0.5712,0.7620
87,0.5690,0.7740
88,0.5668,0.7820
89,0.5647,0.7910
90,0.5626,0.8000
91,0.5605,0.8130
92,0.5585,0.8220
93,0.5565,0.8310
94,0.5544,0.8390
95,0.5525,0.8490
96,0.5505,0.8610
97,0.5485,0.8720
98,0.5466,0.8810
99,0.5447,0.8890
100,0.5428,0.8980
101,0.5409,0.9070
102,0.5390,0.9180
103,0.5372,0.9310
104,0.5354,0.9400
105,0.5336,0.9490
106,0.5318,0.9580
107,0.5300,0.9660
108,0.5282,0.9750
109,0.5265,0.9840
110,0.5248,0.9930
111,0.5231,1.0020
112,0.5214,1.0110
113,0.5197,1.0190
114,0.5180,1.0280
115,0.5163,1.0370
116,0.5147,1.0460
117,0.5131,1.0550
118,0.5114,1.0630
119,0.5098,1.0730
120,0.5082,1.0810
121,0.5067,1.0900
122,0.5051,1.0990
123,0.5035,1.1080
124,0.5020,1.1170
125,0.5004,1.1250
126,0.4989,1.1340
127,0.4974,1.1430
128,0.4959,1.1520
129,0.4944,1.1610
130,0.4929,1.1700
131,0.4914,1.1790
132,0.4900,1.1880
133,0.4885,1.1970
134,0.4871,1.2060
135,0.4857,1.2150
136,0.4842,1.2240
137,0.4828,1.2330
138,0.4814,1.2420
139,0.4800,1.2520
140,0.4786,1.2620
141,0.4772,1.2710
142,0.4759,1.2830
143,0.4745,1.2940
144,0.4732,1.3030
145,0.4718,1.3120
146,0.4705,1.3210
147,0.4691,1.3300
148,0.4678,1.3390
149,0.4665,1.3490
150,0.4652,1.3580
