Epoch,Loss,Time
1,0.9753,0.0080
2,0.9723,0.0180
3,0.9695,0.0270
4,0.9667,0.0360
5,0.9641,0.0450
6,0.9615,0.0540
7,0.9590,0.0630
8,0.9565,0.0720
9,0.9541,0.0800
10,0.9519,0.0880
11,0.9496,0.0960
12,0.9475,0.1040
13,0.9454,0.1120
14,0.9434,0.1200
15,0.9414,0.1280
16,0.9395,0.1360
17,0.9377,0.1440
18,0.9359,0.1520
19,0.9342,0.1600
20,0.9326,0.1690
21,0.9310,0.1770
22,0.9294,0.1850
23,0.9279,0.1930
24,0.9265,0.2010
25,0.9251,0.2090
26,0.9237,0.2180
27,0.9224,0.2280
28,0.9211,0.2370
29,0.9199,0.2480
30,0.9187,0.2570
31,0.9175,0.2660
32,0.9164,0.2750
33,0.9153,0.2830
34,0.9142,0.2920
35,0.9132,0.3010
36,0.9122,0.3090
37,0.9112,0.3170
38,0.9102,0.3250
39,0.9093,0.3330
40,0.9084,0.3410
41,0.9075,0.3490
42,0.9066,0.3570
43,0.9058,0.3650
44,0.9050,0.3720
45,0.9042,0.3800
46,0.9034,0.3880
47,0.9026,0.3960
48,0.9019,0.4040
49,0.9011,0.4120
50,0.9004,0.4190
51,0.8997,0.4280
52,0.8990,0.4380
53,0.8983,0.4460
54,0.8976,0.4550
55,0.8969,0.4630
56,0.8963,0.4730
57,0.8956,0.4820
58,0.8950,0.4920
59,0.8944,0.5000
60,0.8938,0.5080
61,0.8931,0.5160
62,0.8925,0.5250
63,0.8919,0.5370
64,0.8913,0.5490
65,0.8908,0.5590
66,0.8902,0.5670
67,0.8896,0.5750
68,0.8890,0.5820
69,0.8885,0.5900
70,0.8879,0.5980
71,0.8874,0.6090
72,0.8868,0.6190
73,0.8863,0.6270
74,0.8857,0.6350
75,0.8852,0.6430
76,0.8847,0.6510
77,0.8841,0.6590
78,0.8836,0.6670
79,0.8831,0.6750
80,0.8826,0.6830
81,0.8820,0.6910
82,0.8815,0.6990
83,0.8810,0.7070
84,0.8805,0.7150
85,0.8800,0.7220
86,0.8795,0.7300
87,0.8790,0.7380
88,0.8785,0.7460
89,0.8780,0.7540
90,0.8775,0.7610
91,0.8770,0.7690
92,0.8765,0.7770
93,0.8760,0.7850
94,0.8756,0.7930
95,0.8751,0.8000
96,0.8746,0.8080
97,0.8741,0.8160
98,0.8736,0.8260
99,0.8731,0.8340
100,0.8727,0.8420
101,0.8722,0.8500
102,0.8717,0.8580
103,0.8712,0.8660
104,0.8708,0.8740
105,0.8703,0.8820
106,0.8698,0.8900
107,0.8694,0.8980
108,0.8689,0.9050
109,0.8684,0.9130
110,0.8680,0.9210
111,0.8675,0.9290
112,0.8670,0.9390
113,0.8666,0.9470
114,0.8661,0.9550
115,0.8657,0.9630
116,0.8652,0.9710
117,0.8647,0.9790
118,0.8643,0.9870
119,0.8638,0.9960
120,0.8634,1.0040
121,0.8629,1.0130
122,0.8625,1.0210
123,0.8620,1.0310
124,0.8616,1.0420
125,0.8611,1.0530
126,0.8607,1.0650
127,0.8603,1.0750
128,0.8598,1.0830
129,0.8594,1.0910
130,0.8589,1.0990
131,0.8585,1.1070
132,0.8580,1.1150
133,0.8576,1.1230
134,0.8572,1.1300
135,0.8567,1.1390
136,0.8563,1.1470
137,0.8559,1.1550
138,0.8554,1.1630
139,0.8550,1.1720
140,0.8546,1.1800
141,0.8541,1.1890
142,0.8537,1.1970
143,0.8533,1.2050
144,0.8528,1.2130
145,0.8524,1.2210
146,0.8520,1.2300
147,0.8515,1.2380
148,0.8511,1.2460
149,0.8507,1.2540
150,0.8503,1.2620
