Epoch,Loss,Time
1,1.3796,0.0090
2,1.2749,0.0160
3,1.1711,0.0270
4,1.0765,0.0340
5,1.0000,0.0420
6,0.9475,0.0510
7,0.9198,0.0590
8,0.9121,0.0670
9,0.9166,0.0760
10,0.9263,0.0840
11,0.9362,0.0930
12,0.9432,0.1010
13,0.9461,0.1090
14,0.9445,0.1170
15,0.9385,0.1260
16,0.9288,0.1340
17,0.9161,0.1420
18,0.9013,0.1500
19,0.8855,0.1590
20,0.8697,0.1670
21,0.8550,0.1760
22,0.8421,0.1840
23,0.8317,0.1920
24,0.8241,0.2000
25,0.8191,0.2080
26,0.8160,0.2170
27,0.8139,0.2250
28,0.8121,0.2330
29,0.8095,0.2410
30,0.8058,0.2490
31,0.8007,0.2570
32,0.7944,0.2650
33,0.7872,0.2730
34,0.7796,0.2810
35,0.7722,0.2890
36,0.7653,0.2970
37,0.7592,0.3050
38,0.7540,0.3130
39,0.7494,0.3210
40,0.7455,0.3290
41,0.7418,0.3370
42,0.7382,0.3460
43,0.7345,0.3540
44,0.7306,0.3620
45,0.7264,0.3700
46,0.7220,0.3780
47,0.7175,0.3860
48,0.7130,0.3940
49,0.7086,0.4020
50,0.7043,0.4100
51,0.7003,0.4180
52,0.6965,0.4260
53,0.6930,0.4340
54,0.6896,0.4420
55,0.6863,0.4510
56,0.6831,0.4630
57,0.6799,0.4720
58,0.6766,0.4790
59,0.6733,0.4910
60,0.6700,0.5010
61,0.6667,0.5090
62,0.6634,0.5170
63,0.6602,0.5250
64,0.6571,0.5330
65,0.6541,0.5420
66,0.6512,0.5510
67,0.6484,0.5590
68,0.6456,0.5680
69,0.6429,0.5760
70,0.6402,0.5840
71,0.6375,0.5930
72,0.6348,0.6010
73,0.6321,0.6090
74,0.6295,0.6170
75,0.6269,0.6260
76,0.6244,0.6340
77,0.6219,0.6420
78,0.6194,0.6500
79,0.6170,0.6590
80,0.6146,0.6670
81,0.6123,0.6760
82,0.6100,0.6840
83,0.6077,0.6950
84,0.6054,0.7060
85,0.6031,0.7150
86,0.6009,0.7230
87,0.5987,0.7320
88,0.5965,0.7400
89,0.5944,0.7480
90,0.5923,0.7570
91,0.5902,0.7650
92,0.5881,0.7740
93,0.5861,0.7820
94,0.5841,0.7900
95,0.5821,0.7990
96,0.5801,0.8070
97,0.5781,0.8160
98,0.5762,0.8250
99,0.5743,0.8330
100,0.5724,0.8420
101,0.5705,0.8500
102,0.5686,0.8590
103,0.5668,0.8690
104,0.5650,0.8810
105,0.5632,0.8890
106,0.5614,0.8980
107,0.5596,0.9060
108,0.5579,0.9150
109,0.5561,0.9240
110,0.5544,0.9350
111,0.5527,0.9460
112,0.5510,0.9550
113,0.5493,0.9640
114,0.5476,0.9730
115,0.5460,0.9820
116,0.5444,0.9910
117,0.5427,1.0000
118,0.5411,1.0090
119,0.5395,1.0190
120,0.5380,1.0280
121,0.5364,1.0360
122,0.5348,1.0450
123,0.5333,1.0540
124,0.5317,1.0630
125,0.5302,1.0720
126,0.5287,1.0810
127,0.5272,1.0900
128,0.5257,1.0990
129,0.5243,1.1080
130,0.5228,1.1170
131,0.5213,1.1260
132,0.5199,1.1340
133,0.5185,1.1430
134,0.5170,1.1520
135,0.5156,1.1610
136,0.5142,1.1700
137,0.5128,1.1790
138,0.5114,1.1880
139,0.5101,1.1970
140,0.5087,1.2060
141,0.5073,1.2150
142,0.5060,1.2240
143,0.5047,1.2330
144,0.5033,1.2420
145,0.5020,1.2510
146,0.5007,1.2600
147,0.4994,1.2690
148,0.4981,1.2780
149,0.4968,1.2870
150,0.4955,1.2970
