Epoch,Loss,Time
1,1.2631,0.0130
2,1.2578,0.0260
3,1.2525,0.0380
4,1.2472,0.0500
5,1.2418,0.0630
6,1.2365,0.0740
7,1.2311,0.0860
8,1.2257,0.0980
9,1.2202,0.1100
10,1.2148,0.1220
11,1.2093,0.1330
12,1.2038,0.1450
13,1.1983,0.1560
14,1.1928,0.1680
15,1.1873,0.1800
16,1.1818,0.1910
17,1.1762,0.2020
18,1.1707,0.2130
19,1.1652,0.2240
20,1.1597,0.2350
21,1.1542,0.2460
22,1.1486,0.2570
23,1.1431,0.2680
24,1.1377,0.2790
25,1.1322,0.2900
26,1.1268,0.3010
27,1.1213,0.3110
28,1.1159,0.3220
29,1.1106,0.3330
30,1.1052,0.3430
31,1.0999,0.3540
32,1.0947,0.3650
33,1.0894,0.3750
34,1.0843,0.3850
35,1.0791,0.3960
36,1.0740,0.4060
37,1.0690,0.4150
38,1.0640,0.4250
39,1.0591,0.4350
40,1.0543,0.4450
41,1.0495,0.4540
42,1.0447,0.4630
43,1.0401,0.4730
44,1.0355,0.4860
45,1.0310,0.4960
46,1.0265,0.5060
47,1.0222,0.5150
48,1.0179,0.5250
49,1.0137,0.5380
50,1.0095,0.5500
51,1.0055,0.5590
52,1.0015,0.5670
53,0.9977,0.5760
54,0.9939,0.5840
55,0.9902,0.5920
56,0.9866,0.6010
57,0.9830,0.6100
58,0.9796,0.6180
59,0.9763,0.6260
60,0.9730,0.6340
61,0.9698,0.6430
62,0.9667,0.6510
63,0.9637,0.6590
64,0.9608,0.6670
65,0.9580,0.6750
66,0.9552,0.6830
67,0.9526,0.6910
68,0.9500,0.6990
69,0.9475,0.7070
70,0.9450,0.7160
71,0.9427,0.7240
72,0.9404,0.7320
73,0.9382,0.7400
74,0.9361,0.7480
75,0.9340,0.7560
76,0.9320,0.7640
77,0.9301,0.7720
78,0.9282,0.7800
79,0.9264,0.7880
80,0.9246,0.7960
81,0.9229,0.8040
82,0.9213,0.8120
83,0.9197,0.8200
84,0.9182,0.8280
85,0.9167,0.8360
86,0.9153,0.8440
87,0.9139,0.8520
88,0.9126,0.8590
89,0.9113,0.8670
90,0.9100,0.8750
91,0.9088,0.8830
92,0.9076,0.8910
93,0.9065,0.8990
94,0.9054,0.9070
95,0.9043,0.9140
96,0.9032,0.9220
97,0.9022,0.9300
98,0.9012,0.9380
99,0.9003,0.9460
100,0.8993,0.9540
101,0.8984,0.9610
102,0.8975,0.9690
103,0.8967,0.9770
104,0.8958,0.9850
105,0.8950,0.9930
106,0.8942,1.0010
107,0.8934,1.0090
108,0.8926,1.0170
109,0.8919,1.0250
110,0.8912,1.0330
111,0.8904,1.0410
112,0.8897,1.0490
113,0.8890,1.0560
114,0.8883,1.0640
115,0.8877,1.0720
116,0.8870,1.0800
117,0.8864,1.0880
118,0.8857,1.0960
119,0.8851,1.1030
120,0.8845,1.1110
121,0.8838,1.1190
122,0.8832,1.1270
123,0.8826,1.1350
124,0.8821,1.1430
125,0.8815,1.1510
126,0.8809,1.1590
127,0.8803,1.1670
128,0.8798,1.1750
129,0.8792,1.1830
130,0.8786,1.1910
131,0.8781,1.1980
132,0.8775,1.2070
133,0.8770,1.2150
134,0.8765,1.2230
135,0.8759,1.2320
136,0.8754,1.2440
137,0.8749,1.2520
138,0.8744,1.2610
139,0.8739,1.2690
140,0.8733,1.2770
141,0.8728,1.2850
142,0.8723,1.2930
143,0.8718,1.3010
144,0.8713,1.3090
145,0.8708,1.3170
146,0.8703,1.3250
147,0.8698,1.3330
148,0.8693,1.3410
149,0.8689,1.3490
150,0.8684,1.3570
