Epoch,Loss,Time
1,1.7686,0.0110
2,1.7132,0.0220
3,1.6467,0.0330
4,1.5682,0.0420
5,1.4780,0.0500
6,1.3777,0.0570
7,1.2713,0.0650
8,1.1655,0.0720
9,1.0693,0.0800
10,0.9924,0.0870
11,0.9415,0.0950
12,0.9172,0.1030
13,0.9140,0.1110
14,0.9236,0.1190
15,0.9382,0.1270
16,0.9526,0.1350
17,0.9637,0.1430
18,0.9699,0.1510
19,0.9710,0.1600
20,0.9669,0.1680
21,0.9582,0.1760
22,0.9456,0.1840
23,0.9300,0.1920
24,0.9123,0.2000
25,0.8936,0.2080
26,0.8750,0.2160
27,0.8578,0.2240
28,0.8429,0.2320
29,0.8310,0.2400
30,0.8225,0.2480
31,0.8173,0.2560
32,0.8147,0.2640
33,0.8136,0.2710
34,0.8130,0.2790
35,0.8117,0.2870
36,0.8091,0.2950
37,0.8048,0.3020
38,0.7988,0.3100
39,0.7916,0.3180
40,0.7837,0.3250
41,0.7757,0.3330
42,0.7681,0.3410
43,0.7614,0.3490
44,0.7556,0.3570
45,0.7508,0.3650
46,0.7468,0.3730
47,0.7434,0.3810
48,0.7401,0.3890
49,0.7369,0.3970
50,0.7335,0.4050
51,0.7298,0.4130
52,0.7258,0.4210
53,0.7215,0.4290
54,0.7171,0.4370
55,0.7127,0.4450
56,0.7083,0.4530
57,0.7042,0.4620
58,0.7003,0.4710
59,0.6966,0.4790
60,0.6933,0.4870
61,0.6901,0.4950
62,0.6870,0.5030
63,0.6840,0.5110
64,0.6810,0.5190
65,0.6779,0.5270
66,0.6748,0.5350
67,0.6717,0.5430
68,0.6685,0.5510
69,0.6653,0.5590
70,0.6623,0.5670
71,0.6593,0.5750
72,0.6564,0.5830
73,0.6536,0.5910
74,0.6508,0.5990
75,0.6482,0.6070
76,0.6456,0.6150
77,0.6430,0.6230
78,0.6405,0.6310
79,0.6379,0.6390
80,0.6354,0.6470
81,0.6329,0.6550
82,0.6304,0.6630
83,0.6279,0.6720
84,0.6255,0.6800
85,0.6231,0.6890
86,0.6208,0.6980
87,0.6185,0.7060
88,0.6162,0.7150
89,0.6140,0.7230
90,0.6118,0.7310
91,0.6096,0.7400
92,0.6075,0.7480
93,0.6054,0.7570
94,0.6032,0.7660
95,0.6011,0.7750
96,0.5991,0.7830
97,0.5970,0.7920
98,0.5950,0.8000
99,0.5930,0.8080
100,0.5910,0.8170
101,0.5891,0.8250
102,0.5872,0.8330
103,0.5853,0.8420
104,0.5834,0.8500
105,0.5815,0.8590
106,0.5797,0.8670
107,0.5778,0.8760
108,0.5760,0.8840
109,0.5742,0.8920
110,0.5724,0.9000
111,0.5707,0.9090
112,0.5689,0.9170
113,0.5672,0.9250
114,0.5655,0.9330
115,0.5638,0.9420
116,0.5621,0.9510
117,0.5604,0.9600
118,0.5588,0.9690
119,0.5571,0.9780
120,0.5555,0.9860
121,0.5539,0.9940
122,0.5523,1.0050
123,0.5507,1.0140
124,0.5491,1.0230
125,0.5476,1.0310
126,0.5460,1.0400
127,0.5445,1.0490
128,0.5430,1.0580
129,0.5415,1.0660
130,0.5400,1.0750
131,0.5385,1.0850
132,0.5370,1.0940
133,0.5356,1.1030
134,0.5341,1.1120
135,0.5327,1.1210
136,0.5312,1.1290
137,0.5298,1.1380
138,0.5284,1.1470
139,0.5270,1.1560
140,0.5256,1.1650
141,0.5242,1.1740
142,0.5229,1.1830
143,0.5215,1.1920
144,0.5202,1.2010
145,0.5188,1.2100
146,0.5175,1.2190
147,0.5162,1.2270
148,0.5149,1.2360
149,0.5135,1.2450
150,0.5122,1.2540
