Epoch,Loss,Time
1,0.9830,0.0090
2,0.8529,0.0180
3,0.7460,0.0260
4,0.6722,0.0350
5,0.6211,0.0440
6,0.5838,0.0530
7,0.5550,0.0620
8,0.5317,0.0710
9,0.5117,0.0810
10,0.4942,0.0900
11,0.4785,0.1000
12,0.4643,0.1100
13,0.4512,0.1200
14,0.4392,0.1300
15,0.4281,0.1400
16,0.4178,0.1500
17,0.4081,0.1600
18,0.3990,0.1700
19,0.3905,0.1810
20,0.3824,0.1910
21,0.3746,0.2010
22,0.3673,0.2110
23,0.3603,0.2220
24,0.3536,0.2320
25,0.3472,0.2430
26,0.3410,0.2530
27,0.3351,0.2640
28,0.3294,0.2750
29,0.3239,0.2850
30,0.3186,0.2960
31,0.3135,0.3070
32,0.3086,0.3180
33,0.3038,0.3290
34,0.2992,0.3400
35,0.2947,0.3510
36,0.2904,0.3670
37,0.2862,0.3780
38,0.2822,0.3890
39,0.2782,0.4010
40,0.2744,0.4110
41,0.2707,0.4240
42,0.2671,0.4350
43,0.2636,0.4470
44,0.2601,0.4620
45,0.2568,0.4730
46,0.2536,0.4840
47,0.2504,0.4950
48,0.2474,0.5070
49,0.2444,0.5180
50,0.2415,0.5320
51,0.2387,0.5430
52,0.2359,0.5540
53,0.2332,0.5660
54,0.2306,0.5770
55,0.2280,0.5890
56,0.2255,0.6010
57,0.2230,0.6120
58,0.2206,0.6240
59,0.2183,0.6360
60,0.2160,0.6480
61,0.2137,0.6600
62,0.2115,0.6720
63,0.2094,0.6830
64,0.2073,0.6950
65,0.2052,0.7060
66,0.2032,0.7180
67,0.2012,0.7290
68,0.1992,0.7410
69,0.1973,0.7530
70,0.1955,0.7650
71,0.1936,0.7770
72,0.1918,0.7890
73,0.1900,0.8010
74,0.1883,0.8130
75,0.1866,0.8250
76,0.1849,0.8370
77,0.1833,0.8490
78,0.1816,0.8620
79,0.1800,0.8740
80,0.1785,0.8860
81,0.1769,0.8980
82,0.1754,0.9100
83,0.1739,0.9220
84,0.1724,0.9360
85,0.1710,0.9520
86,0.1695,0.9650
87,0.1681,0.9780
88,0.1667,0.9900
89,0.1654,1.0020
90,0.1640,1.0150
91,0.1627,1.0270
92,0.1614,1.0390
93,0.1601,1.0510
94,0.1588,1.0640
95,0.1575,1.0760
96,0.1563,1.0890
97,0.1551,1.1010
98,0.1539,1.1130
99,0.1527,1.1260
100,0.1515,1.1380
101,0.1503,1.1500
102,0.1492,1.1630
103,0.1481,1.1760
104,0.1469,1.1880
105,0.1458,1.2000
106,0.1448,1.2120
107,0.1437,1.2250
108,0.1426,1.2370
109,0.1416,1.2490
110,0.1406,1.2620
111,0.1395,1.2740
112,0.1385,1.2900
113,0.1375,1.3060
114,0.1366,1.3250
115,0.1356,1.3440
116,0.1346,1.3600
117,0.1337,1.3760
118,0.1328,1.3890
119,0.1318,1.4010
120,0.1309,1.4170
121,0.1300,1.4350
122,0.1291,1.4470
123,0.1282,1.4600
124,0.1274,1.4720
125,0.1265,1.4850
126,0.1257,1.4980
127,0.1248,1.5100
128,0.1240,1.5230
129,0.1232,1.5350
130,0.1223,1.5480
131,0.1215,1.5610
132,0.1207,1.5800
133,0.1200,1.5930
134,0.1192,1.6060
135,0.1184,1.6190
136,0.1177,1.6360
137,0.1169,1.6550
138,0.1162,1.6670
139,0.1154,1.6800
140,0.1147,1.6970
141,0.1140,1.7110
142,0.1133,1.7240
143,0.1126,1.7360
144,0.1119,1.7490
145,0.1112,1.7610
146,0.1105,1.7790
147,0.1099,1.7980
148,0.1092,1.8100
149,0.1086,1.8230
150,0.1079,1.8350
