Epoch,Loss,Time
1,1.0744,0.0080
2,0.9001,0.0170
3,0.7663,0.0260
4,0.6808,0.0350
5,0.6253,0.0440
6,0.5863,0.0520
7,0.5568,0.0620
8,0.5331,0.0710
9,0.5131,0.0800
10,0.4955,0.0900
11,0.4796,0.1000
12,0.4653,0.1090
13,0.4521,0.1190
14,0.4401,0.1290
15,0.4289,0.1390
16,0.4185,0.1490
17,0.4088,0.1590
18,0.3996,0.1690
19,0.3910,0.1790
20,0.3829,0.1890
21,0.3751,0.1990
22,0.3678,0.2090
23,0.3607,0.2190
24,0.3540,0.2300
25,0.3476,0.2400
26,0.3414,0.2500
27,0.3355,0.2610
28,0.3298,0.2750
29,0.3242,0.2890
30,0.3189,0.3000
31,0.3138,0.3120
32,0.3089,0.3240
33,0.3041,0.3360
34,0.2995,0.3470
35,0.2950,0.3610
36,0.2907,0.3770
37,0.2865,0.3900
38,0.2824,0.4010
39,0.2784,0.4120
40,0.2746,0.4230
41,0.2709,0.4350
42,0.2673,0.4460
43,0.2637,0.4580
44,0.2603,0.4690
45,0.2570,0.4800
46,0.2538,0.4920
47,0.2506,0.5070
48,0.2475,0.5190
49,0.2446,0.5310
50,0.2416,0.5430
51,0.2388,0.5540
52,0.2360,0.5650
53,0.2333,0.5770
54,0.2307,0.5880
55,0.2281,0.6000
56,0.2256,0.6120
57,0.2231,0.6240
58,0.2207,0.6360
59,0.2184,0.6480
60,0.2161,0.6600
61,0.2138,0.6710
62,0.2116,0.6830
63,0.2095,0.6950
64,0.2074,0.7070
65,0.2053,0.7190
66,0.2033,0.7320
67,0.2013,0.7430
68,0.1993,0.7550
69,0.1974,0.7670
70,0.1955,0.7780
71,0.1937,0.7900
72,0.1919,0.8020
73,0.1901,0.8140
74,0.1884,0.8260
75,0.1867,0.8370
76,0.1850,0.8490
77,0.1833,0.8610
78,0.1817,0.8730
79,0.1801,0.8850
80,0.1785,0.8970
81,0.1770,0.9090
82,0.1755,0.9210
83,0.1740,0.9330
84,0.1725,0.9460
85,0.1710,0.9580
86,0.1696,0.9710
87,0.1682,0.9830
88,0.1668,0.9950
89,0.1654,1.0070
90,0.1641,1.0190
91,0.1627,1.0310
92,0.1614,1.0440
93,0.1601,1.0560
94,0.1589,1.0680
95,0.1576,1.0800
96,0.1563,1.0930
97,0.1551,1.1050
98,0.1539,1.1180
99,0.1527,1.1340
100,0.1515,1.1510
101,0.1504,1.1680
102,0.1492,1.1800
103,0.1481,1.1930
104,0.1470,1.2080
105,0.1459,1.2230
106,0.1448,1.2360
107,0.1437,1.2490
108,0.1427,1.2610
109,0.1416,1.2790
110,0.1406,1.2970
111,0.1396,1.3120
112,0.1386,1.3250
113,0.1376,1.3380
114,0.1366,1.3510
115,0.1356,1.3640
116,0.1346,1.3780
117,0.1337,1.3910
118,0.1328,1.4040
119,0.1318,1.4170
120,0.1309,1.4300
121,0.1300,1.4430
122,0.1291,1.4560
123,0.1282,1.4690
124,0.1274,1.4820
125,0.1265,1.4950
126,0.1256,1.5070
127,0.1248,1.5200
128,0.1239,1.5330
129,0.1231,1.5470
130,0.1223,1.5600
131,0.1215,1.5730
132,0.1207,1.5860
133,0.1199,1.6000
134,0.1191,1.6180
135,0.1184,1.6360
136,0.1176,1.6510
137,0.1168,1.6630
138,0.1161,1.6760
139,0.1154,1.6890
140,0.1146,1.7020
141,0.1139,1.7170
142,0.1132,1.7300
143,0.1125,1.7430
144,0.1118,1.7570
145,0.1111,1.7740
146,0.1105,1.7940
147,0.1098,1.8100
148,0.1092,1.8270
149,0.1085,1.8420
150,0.1079,1.8550
