Epoch,Loss,Time
1,1.4648,0.0080
2,1.4505,0.0160
3,1.4358,0.0230
4,1.4206,0.0310
5,1.4051,0.0390
6,1.3893,0.0460
7,1.3731,0.0540
8,1.3566,0.0610
9,1.3399,0.0690
10,1.3229,0.0760
11,1.3058,0.0840
12,1.2886,0.0910
13,1.2713,0.0990
14,1.2539,0.1060
15,1.2367,0.1140
16,1.2195,0.1210
17,1.2025,0.1290
18,1.1857,0.1360
19,1.1692,0.1430
20,1.1531,0.1510
21,1.1374,0.1580
22,1.1222,0.1660
23,1.1074,0.1730
24,1.0932,0.1810
25,1.0795,0.1880
26,1.0665,0.1950
27,1.0540,0.2030
28,1.0421,0.2100
29,1.0309,0.2180
30,1.0202,0.2250
31,1.0102,0.2330
32,1.0007,0.2400
33,0.9918,0.2480
34,0.9834,0.2550
35,0.9756,0.2630
36,0.9683,0.2700
37,0.9614,0.2780
38,0.9550,0.2860
39,0.9491,0.2940
40,0.9435,0.3020
41,0.9383,0.3100
42,0.9335,0.3180
43,0.9289,0.3250
44,0.9247,0.3330
45,0.9208,0.3410
46,0.9171,0.3490
47,0.9137,0.3570
48,0.9105,0.3650
49,0.9075,0.3730
50,0.9047,0.3810
51,0.9021,0.3890
52,0.8996,0.3970
53,0.8973,0.4050
54,0.8952,0.4130
55,0.8931,0.4210
56,0.8912,0.4310
57,0.8894,0.4390
58,0.8877,0.4470
59,0.8861,0.4550
60,0.8846,0.4630
61,0.8832,0.4710
62,0.8818,0.4790
63,0.8805,0.4880
64,0.8793,0.4960
65,0.8781,0.5040
66,0.8770,0.5120
67,0.8759,0.5210
68,0.8749,0.5330
69,0.8739,0.5420
70,0.8730,0.5520
71,0.8721,0.5630
72,0.8712,0.5710
73,0.8704,0.5790
74,0.8696,0.5860
75,0.8688,0.5940
76,0.8680,0.6020
77,0.8673,0.6100
78,0.8666,0.6180
79,0.8659,0.6260
80,0.8652,0.6340
81,0.8646,0.6420
82,0.8639,0.6500
83,0.8633,0.6580
84,0.8627,0.6660
85,0.8621,0.6740
86,0.8615,0.6810
87,0.8609,0.6890
88,0.8603,0.6970
89,0.8598,0.7050
90,0.8592,0.7130
91,0.8587,0.7210
92,0.8582,0.7280
93,0.8576,0.7360
94,0.8571,0.7440
95,0.8566,0.7520
96,0.8561,0.7620
97,0.8556,0.7700
98,0.8551,0.7780
99,0.8546,0.7850
100,0.8541,0.7930
101,0.8537,0.8010
102,0.8532,0.8090
103,0.8527,0.8170
104,0.8523,0.8250
105,0.8518,0.8330
106,0.8513,0.8410
107,0.8509,0.8490
108,0.8504,0.8580
109,0.8500,0.8660
110,0.8495,0.8740
111,0.8491,0.8830
112,0.8486,0.8910
113,0.8482,0.9000
114,0.8478,0.9080
115,0.8473,0.9160
116,0.8469,0.9240
117,0.8464,0.9330
118,0.8460,0.9410
119,0.8456,0.9490
120,0.8452,0.9570
121,0.8447,0.9650
122,0.8443,0.9740
123,0.8439,0.9830
124,0.8435,0.9910
125,0.8431,0.9990
126,0.8426,1.0090
127,0.8422,1.0200
128,0.8418,1.0280
129,0.8414,1.0360
130,0.8410,1.0450
131,0.8406,1.0530
132,0.8402,1.0610
133,0.8397,1.0690
134,0.8393,1.0770
135,0.8389,1.0850
136,0.8385,1.0930
137,0.8381,1.1030
138,0.8377,1.1110
139,0.8373,1.1190
140,0.8369,1.1270
141,0.8365,1.1350
142,0.8361,1.1430
143,0.8357,1.1510
144,0.8353,1.1590
145,0.8349,1.1670
146,0.8345,1.1750
147,0.8341,1.1830
148,0.8337,1.1900
149,0.8334,1.1980
150,0.8330,1.2060
